Star ID,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,26,27,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,25,26,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,11,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,26,27,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2858,2,4,8,10,13,13,12,17,20,26,27,23
2858,2,4,8,10,13,13,12,17,20,26,27,23
2858,2,4,8,10,13,13,12,17,20,25,27,23
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,6,13,11,15,18,18,18,28,20,35
2936,2,1,5,14,11,15,18,18,18,28,20,35
2936,2,1,5,14,10,15,18,18,18,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,18,28,20,35
2936,2,1,5,14,11,15,18,18,18,28,20,35
2936,2,1,5,14,10,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2936,2,1,5,14,11,15,18,18,19,28,20,35
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,10,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,19,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,10,34,22,33
2939,2,1,8,12,7,20,16,20,10,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,10,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
2939,2,1,8,12,7,20,16,20,11,34,22,33
3407,4,3,4,11,10,18,26,15,24,35,23,26
3407,4,3,5,11,10,18,25,16,23,34,24,26
3407,4,3,5,11,10,18,26,16,23,34,24,26
3407,4,3,5,11,10,18,26,16,22,36,23,26
3407,4,3,5,11,10,18,25,15,24,35,23,26
3407,4,3,5,11,10,18,25,16,23,34,24,26
3407,4,3,5,11,10,18,25,15,24,34,24,26
3407,4,3,4,11,10,18,26,15,24,34,24,26
3407,4,3,5,11,10,18,26,15,24,34,24,26
3407,4,3,5,11,10,18,26,15,24,35,23,26
3407,4,3,5,11,10,18,25,15,24,34,24,26
3407,4,3,5,11,10,18,25,15,24,35,23,26
3407,4,3,5,11,10,18,25,16,23,34,24,26
3407,4,3,5,11,10,18,26,15,24,34,24,26
3407,4,3,5,11,10,18,25,16,23,35,23,26
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,28,16,19,25,35,28
3457,3,2,9,11,6,19,27,17,19,25,35,28
3457,4,1,9,11,6,19,28,16,19,25,35,28
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,28,16,19,25,34,29
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,27,17,19,25,35,28
3457,4,1,9,11,6,19,26,17,19,25,35,28
3457,4,1,9,11,6,19,28,16,19,25,35,28
3457,4,1,9,11,6,19,28,16,19,25,35,28
3457,4,1,8,11,6,19,28,16,19,25,35,28
3457,4,1,9,11,6,19,27,17,19,25,35,28
3466,4,3,6,8,17,17,23,15,23,35,24,43
3466,4,3,5,8,17,17,23,15,23,35,24,43
3466,4,3,6,8,17,17,23,15,23,35,24,43
3466,4,3,6,8,17,17,22,15,23,35,24,43
3466,4,3,6,8,17,17,22,15,23,35,24,43
3466,4,3,6,8,17,17,23,15,23,35,24,43
3466,4,3,6,8,17,17,22,15,23,35,24,43
3466,4,3,6,8,17,17,23,15,23,35,24,43
3466,4,3,5,9,17,17,22,15,23,35,24,43
3466,4,3,6,8,17,17,22,15,23,35,24,43
